Course ID,No,Course Name,Question Stem,Question Type,Answer Key,Answer Value
30237,1,全球过气的人造肉，为何在新加坡大放异彩？, Let's get down to the ______ and potatoes. How much are you going to pay me for this?,choice,,meat
30237,2,全球过气的人造肉，为何在新加坡大放异彩？, These plans need to be fleshed ______ with some more figures.,choice,,out
30237,3,全球过气的人造肉，为何在新加坡大放异彩？, She lost the election by a ______ 20 votes.,choice,,mere
30237,4,全球过气的人造肉，为何在新加坡大放异彩？, I'm nowhere ______ finishing the book - I'm only half-way through it.,choice,,near
30237,5,全球过气的人造肉，为何在新加坡大放异彩？," ______ theory, more competition means lower prices for consumers.",choice,,In
30237,6,全球过气的人造肉，为何在新加坡大放异彩？," What does ""what do you know"" mean in ""... it smells like chicken, what do you know, it tastes like chicken""? ",choice,,to show surprise when discovering something new or unexpected
30237,7,全球过气的人造肉，为何在新加坡大放异彩？," What does ""mere"" mean in ""Ever since the first lab-grown burger - which cost a mere $330,000  to create ... dozens of companies ...""? ",choice,,used to emphasize that something is not large or important
30237,8,全球过气的人造肉，为何在新加坡大放异彩？," Which of the following is the synonym of ""literally"" in ""Unlike plant-based substitutes, cultivated meat is literally meat""? ",choice,,truly
30237,9,全球过气的人造肉，为何在新加坡大放异彩？," What does ""give the green light"" mean in ""... Singapore - the only country in the world to allow lab-grown meat to be sold - gave its chicken the green light ...? ",choice,,"to allow a project, plan etc to begin"
30237,10,全球过气的人造肉，为何在新加坡大放异彩？," What does ""cancel out any benefits"" mean in ""... the advanced technology needed to create cultivated meat is so energy intensive that it cancels out any benefits""? ",choice,C,to remove the positive effects or advantages of something
30238,1,苹果头显设备震撼发布，救得了过气的元宇宙吗？," ______ a way, what we call fear and anxiety are manifestations of our consciousness. ",choice,,In
30238,2,苹果头显设备震撼发布，救得了过气的元宇宙吗？," We found over 200 proteins, many of which are not ______ the radar for malaria vaccines. ",choice,,on
30238,3,苹果头显设备震撼发布，救得了过气的元宇宙吗？, He's quite capable ______ lying to get out of trouble. ,choice,,of
30238,4,苹果头显设备震撼发布，救得了过气的元宇宙吗？, I was excited ______ the possibility of playing football again. ,choice,C,about
30238,5,苹果头显设备震撼发布，救得了过气的元宇宙吗？, To break your promise to him would be ______ to betraying your friendship. ,choice,,akin
30238,6,苹果头显设备震撼发布，救得了过气的元宇宙吗？," Which of the following can BEST replace ""generate"" in ""'It's going to generate excitement,' said Jay Ferro, executive vice president at Clario, of the Apple announcement ...""? ",choice,,create
30238,7,苹果头显设备震撼发布，救得了过气的元宇宙吗？," What does ""overwhelmingly"" mean in ""Business interest in the technology remains overwhelmingly mediocre ...""? ",choice,,in a way that is so powerful that you cannot resist it or decide how to react
30238,8,苹果头显设备震撼发布，救得了过气的元宇宙吗？," What does ""priority"" mean in ""Goodyear Tire & Rubber Senior Vice President Chris Helsel says that among his top 10 priorities, it’s probably 10th""? ",choice,,something that is very important and must be dealt with before other things
30238,9,苹果头显设备震撼发布，救得了过气的元宇宙吗？," What does ""mediocre"" mean in ""Business interest in the technology remains overwhelmingly mediocre ...""? ",choice,,not very good; of only average standard
30238,10,苹果头显设备震撼发布，救得了过气的元宇宙吗？," Which of the following has the word ""project"" with the same meaning as that in ""... including an ability to project a screen akin to a modern desktop in a way that could replace a computer monitor""? ",choice,,They projected the digital image onto the model's surface.
30239,1,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,The stock is set ______ begin trading on Thursday.,choice,C,to
30239,2,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,We stay ______ close touch with the New York office.,choice,B,in
30239,3,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,Vitamin C may help protect ______ cancer.,choice,B,against
30239,4,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,The only ______ to the village is by boat.,choice,D,access
30239,5,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,"Which of the following has the word ""run"" with the same meaning as that in ""DeSantis Set to Announce 2024 Run on Twitter With Elon Musk""? ",choice,C,He made an unsuccessful run for governor in 2005.
30239,6,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,"Which of the following can BEST replace ""expected"" in ""Mr. DeSantis's entry into the Republican primary race against former President Donald J. Trump has been widely expected ...""?",choice,A,anticipated
30239,7,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,"Which of the following can BEST replace ""likened"" in ""... which he has likened to an assault on free speech and truth undertaken in concert with government officials.""?",choice,D,compared
30239,8,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,"What does ""pending"" mean in ""... a clear foreshadowing of his pending announcement""? ",choice,B,about to happen or waiting to happen
30239,9,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,"What does ""intone"" mean in ""'They call it faith because in the face of darkness you can see that brighter future,' a narrator intones""? ",choice,D,to say something slowly and seriously in a voice that does not rise or fall much
30239,10,德桑蒂斯宣布参加2024大选，借势Twitter对抗特朗普？,"What does ""elite"" mean in ""... Mr. DeSantis has supported legislation intended, in his words, to protect people against 'Silicon Valley elites'""? ",choice,B,"the richest, most powerful, best-educated, or best-trained group in a society"
30240,1,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？, It's hardly surprising that tourists flock ______ see the area. ,choice,A,to
30240,2,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？, Her career took ______ after she won an Oscar for best supporting actress. ,choice,C,off
30240,3,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？, In one year she turned from a problem child ______ a model student. ,choice,D,into
30240,4,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？, I decorated the fruit salad with a ______ of mint. ,choice,B,sprig
30240,5,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？," The grass was like an ______ of gold, and below her the valley swam in golden mist. ",choice,B,expanse
30240,6,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？," Which of the following is a synonym of ""jumbo"" in ""The lights flickered between icy blue and red-hot, leaping toward the night sky beside a jumbo sign ...""? ",choice,D,gigantic
30240,7,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？," Which of the following can BEST replace ""flickered"" in ""The lights flickered between icy blue and red-hot, leaping toward the night sky beside a jumbo sign""? ",choice,A,sparkled
30240,8,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？," Which of the following has the word ""lend"" with the same meaning as that in ""Diners grill their own skewers on tabletop charcoal stoves, which lends the meal a D.I.Y. feel ...""? ",choice,C,The setting sun lent an air of melancholy to the scene.
30240,9,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？," What does ""frenzy"" mean in ""As a result, locals — seemingly unable to believe their luck — have done all they can to keep the frenzy alive""? ",choice,B,a state of great activity and strong emotion
30240,10,《纽约时报》记者亲身体验：“淄博烧烤”为何火出圈？," Which of the following has the word ""draw"" with the same meaning as that in ""The cheap prices were also a draw — skewers start at 15 cents at the most popular restaurants — so other young people began flocking to town. Influencers followed""? ",choice,C,She is currently one of the biggest draws on the Irish music scene.
30241,1,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,Hugh blames his lack of confidence ______ his mother.,choice,,on
30241,2,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,I'm sick ______ the way you're behaving.,choice,,of
30241,3,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,One even chased me ______ the sidewalk to return a scarf I left on the seat. ,choice,,down
30241,4,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,If he keeps doing stuff like that he's going to wind ______ in prison!,choice,,up
30241,5,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,"Which of the following can BEST replace ""sick"" in ""'I'm so sick of smiling,' says Danny Cho (Steven Yeun) in the first episode of Netflix's ""Beef'""?",choice,,tired
30241,6,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,"What does ""docility"" mean in ""...  in part because of 'model minority' stereotypes of docility""? ",choice,,"the quality of being quiet and easy to influence, persuade, or control"
30241,7,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,"What does ""invigorating"" mean in ""What makes this one of the most invigorating, surprising and insightful debuts ...""? ",choice,,"making you feel healthier, less tired, and more energetic"
30241,8,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,"Which of the following is the synonym of ""repress"" in ""Amy describes learning to repress her emotions from her father ...""? ",choice,,suppress
30241,9,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,"What does ""countermove"" mean in ""She, planning her next countermove, relaxes into a tiny grin""? ",choice,A,an action by one person that is a reaction to an action by someone else
30241,10,《怒呛人生》：人均焦虑的时代，如何化解愤怒？,"Which of the following is the synonym of ""ample"" in ""Beef"" provides ample evidence of this ...""? ",choice,,plentiful
30242,1,不只TikTok，中国APP组团称霸美国市场, Does he wear those ridiculous clothes to ______ attention to himself?,choice,C,draw
30242,2,不只TikTok，中国APP组团称霸美国市场, Unhappiness was ______ into the natural fabric of people's lives.,choice,B,woven
30242,3,不只TikTok，中国APP组团称霸美国市场, The company cited a 13 percent decline in new orders ______ evidence that overall demand for its products was falling.,choice,A,as
30242,4,不只TikTok，中国APP组团称霸美国市场, The loan from his father gave him a leg ______ when he needed it.,choice,C,up
30242,5,不只TikTok，中国APP组团称霸美国市场, A flood of cheap Italian tomatoes has almost ______ the market. ,choice,D,saturated
30242,6,不只TikTok，中国APP组团称霸美国市场," What does ""forge"" mean in ""Four of the five hottest apps in the U.S. in March were forged in China""? ",choice,D,"to form or make, especially by concentrated effort"
30242,7,不只TikTok，中国APP组团称霸美国市场," Which of the following is the synonym of ""facet"" in ""An often overlooked facet is how cutthroat competition for users at home has given Chinese firms a leg up over Western rivals""? ",choice,B,aspect
30242,8,不只TikTok，中国APP组团称霸美国市场," What does ""secret sauce"" mean in ""Algorithms are often cited as their secret sauce""? ",choice,B,a special quality that makes something successful
30242,9,不只TikTok，中国APP组团称霸美国市场," Which of the following is the synonym of ""back"" in ""They are backed by China's vast pool of tech talent""? ",choice,D,support
30242,10,不只TikTok，中国APP组团称霸美国市场," What does ""fine-tune"" mean in ""... Chinese tech companies have harnessed a labor pool of affordable talent to constantly fine-tune product features""? ",choice,B,"to adjust a device, system, policy, etc. for greater effectiveness"
30243,1,大佬联手叫停ChatGPT，他们在怕什么？, ______ of stage and screen assembled for last night's awards ceremony.,choice,C,Luminaries
30243,2,大佬联手叫停ChatGPT，他们在怕什么？, The move comes ______ fears of rising regional tensions. ,choice,D,amid
30243,3,大佬联手叫停ChatGPT，他们在怕什么？, I think the amount of work will increase and that it will become ______ more complex. ,choice,C,ever
30243,4,大佬联手叫停ChatGPT，他们在怕什么？," The car skidded and went out ______ control, crashing into an oncoming truck. ",choice,B,of
30243,5,大佬联手叫停ChatGPT，他们在怕什么？," What does ""pose"" mean in "" 'AI systems with human-competitive intelligence can pose profound risks to society and humanity' ...""? ",choice,B,to cause a possible problem in the future
30243,6,大佬联手叫停ChatGPT，他们在怕什么？," What does ""urge"" mean in ""Elon Musk among experts urging a halt to AI training""? ",choice,C,to strongly encourage or persuade someone to do something
30243,7,大佬联手叫停ChatGPT，他们在怕什么？," Which of the following has the word ""figure"" with the same meaning as that in ""Key figures in artificial intelligence want training of powerful AI systems to be suspended ...""? ",choice,B,She was a central figure in the movement for constitutional reform.
30243,8,大佬联手叫停ChatGPT，他们在怕什么？," What does ""suspend"" mean in ""Key figures in artificial intelligence want training of powerful AI systems to be suspended ...""? ",choice,C,to temporarily stop something from continuing or to pause an activity
30243,9,大佬联手叫停ChatGPT，他们在怕什么？," Which of the following is the synonym of ""halt"" in ""The letter ... wants development to be halted temporarily at that level ...""? ",choice,D,stop
30243,10,大佬联手叫停ChatGPT，他们在怕什么？," What does ""state-of-the-art"" mean in ""OpenAI, the company behind ChatGPT, recently released GPT-4 - a state-of-the-art technology ...""? ",choice,B,something that is the most advanced or modern of its kind
30244,1,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？, Interesting ideas about education and healthcare are bubbling ______ all over the country.,choice,,up
30244,2,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？," Famous paintings have been paired ______ poems by Sandburg, Angelou, and others.",choice,,with
30244,3,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？, He's serving an ______ as a printer.,choice,,apprenticeship
30244,4,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？, I've been struggling ______ understand this article all afternoon. ,choice,,to
30244,5,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？, That ______ seems worse than it was ten years ago.,choice,,mismatch
30244,6,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？," Which of the following has the word ""drop"" with the same meaning as that in ""Companies such as Alphabet Inc's Google ... have responded by dropping college degrees as requirements ...""? ",choice,,I'm going to drop yoga and do aerobics instead.
30244,7,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？," Which of the following is the synonym of ""unanimous"" in ""Her family was unanimous: Take the apprenticeship""? ",choice,,undivided
30244,8,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？," What does ""recalibrate"" mean in ""Family conversations like the one in Ms. Cruz's living room are bubbling up around the country as high-school seniors recalibrate their options""? ",choice,,to change the way you do or think about something
30244,9,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？," What does ""vocational"" mean in ""... the acceleration of a shift away from the nation's half-century ... toward a choice of either college or vocational programs ...""? ",choice,,providing skills and education that prepare you for a job
30244,10,“孔乙己的长衫”走红：年轻人要放弃大学文凭吗？," Which of the following is the synonym of ""mentor"" in ""Apprenticeships take many forms but generally pair students with a course of study ... under the supervision of a mentor""? ",choice,,tutor
